phase,model,horizon,params,eval_window,first_logged_utc
2,random_walk,22,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:39+00:00
2,expanding_mean,22,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:39+00:00
2,ewma_riskmetrics,22,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:39+00:00
2,vix,22,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:40+00:00
2,har,22,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:40+00:00
2,har_log,22,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:40+00:00
2,random_walk,5,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:40+00:00
2,expanding_mean,5,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:40+00:00
2,ewma_riskmetrics,5,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:40+00:00
2,vix,5,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:40+00:00
2,har,5,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:40+00:00
2,har_log,5,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:40+00:00
2,random_walk,1,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:40+00:00
2,expanding_mean,1,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:40+00:00
2,ewma_riskmetrics,1,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:40+00:00
2,vix,1,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:40+00:00
2,har,1,"{""min_train"": 252, ""refit_every"": 22}",2000-01-03..2018-12-31,2026-07-20T03:19:40+00:00
