model,QLIKE,MSE_x1e4,OOS_R2_vs_expmean,MZ_alpha,MZ_beta,MZ_R2,MZ_p_joint,DM_stat_vs_har,DM_p_vs_har
har_log_iv,0.3361,25.4568,0.574,0.0009,1.0801,0.572,0.1199,-5.3348,0.0
gjr_n,0.3577,24.4451,0.5909,0.0001,0.9976,0.584,0.9985,-5.5641,0.0
gjr_t,0.3608,24.9697,0.5821,0.001,0.9424,0.5774,0.8272,-4.2819,0.0
egarch_n,0.361,26.6669,0.5537,-0.0107,1.4465,0.6065,0.0561,-3.3094,0.0009
garch_n,0.3921,28.5946,0.5214,0.0015,0.9628,0.5141,0.8364,-1.7844,0.0744
har,0.4038,28.8202,0.5177,0.0035,0.9393,0.5119,0.2565,,
har_j,0.4046,30.9458,0.4821,0.006,0.8547,0.4875,0.1126,0.6926,0.4886
har_cj,0.4055,30.7446,0.4855,0.0061,0.8523,0.4916,0.087,0.8288,0.4072
vix,0.4094,27.038,0.5475,-0.0143,1.0981,0.5604,0.0,0.3338,0.7385
har_log,0.4133,29.7402,0.5023,-0.005,1.2224,0.5119,0.4562,1.1507,0.2499
ewma_riskmetrics,0.4286,29.4416,0.5073,0.0039,0.8948,0.5059,0.3296,1.4569,0.1452
expanding_mean,0.8895,59.7518,0.0,0.0651,-0.9636,0.0029,0.0342,3.3505,0.0008
random_walk,0.931,34.6615,0.4199,0.0107,0.705,0.4972,0.0,7.1293,0.0
har_iv,1.8098,26.7104,0.553,0.0046,0.9832,0.5483,0.0022,2.6784,0.0074
