model,QLIKE,MSE_x1e4,OOS_R2_vs_expmean,MZ_beta,MZ_p_joint,DM_p_vs_har,DM_stat_vs_har,DM_p_vs_har_log_iv,DM_stat_vs_har_log_iv
gjr_n,0.2544,19.77,0.5555,0.9093,0.4209,,,,
har_log_iv,0.2571,21.9632,0.5062,1.0741,0.1739,,,,
gjr_t,0.2615,20.6643,0.5354,0.8359,0.3633,,,,
har_iv,0.2659,24.7517,0.4435,0.9624,0.0931,,,,
egarch_n,0.2683,22.6911,0.4899,1.4871,0.1855,,,,
garch_n,0.2696,22.5584,0.4929,0.8445,0.3352,,,,
vix,0.2751,22.8338,0.4867,0.8927,0.0002,,,,
har,0.2877,23.625,0.4689,0.9525,0.3942,,,,
har_log,0.2897,22.9784,0.4834,1.2431,0.5228,,,,
har_j,0.291,23.3766,0.4745,0.8634,0.2197,,,,
har_cj,0.2928,23.4316,0.4732,0.8694,0.2213,,,,
lightgbm,0.3175,32.9348,0.2596,0.9231,0.0184,0.3301,0.974,0.0013,3.2103
ewma_riskmetrics,0.3338,23.9608,0.4613,0.7611,0.0508,,,,
random_walk,0.4107,25.7302,0.4215,0.7033,0.0017,,,,
expanding_mean,0.6818,44.4812,0.0,-1.3378,0.0249,,,,
